Datetime,Water Temperature,Ambient Temperature,Humidity,Water Level,Rain,Light,UV,Turbidity,Dissolved Oxygen,pH,Total Dissolved Solids
2021-11-03 13:20:32,16.5,20.5,67.0,54.0,1023.0,962.0,245.0,2992.63,7.31,4.99,286.3
2021-11-03 13:20:37,16.5,20.5,67.0,54.0,1023.0,998.0,245.0,3038.01,7.26,5.01,281.27
2021-11-03 13:20:41,16.5,20.6,66.0,53.95,1023.0,988.0,245.0,3008.72,7.0,5.01,280.44
2021-11-03 13:20:46,16.5,20.6,66.0,53.93,1023.0,1001.0,245.0,3059.22,7.66,4.92,281.27
2021-11-03 13:20:31,16.5,20.4,67.0,53.93,1023.0,1004.0,250.0,3071.99,7.7,4.94,286.3
2021-11-03 13:20:36,16.5,20.4,67.0,53.95,1023.0,1023.0,260.0,3056.72,7.39,4.98,283.78
2021-11-03 13:20:42,16.5,20.4,68.0,54.0,1023.0,1023.0,265.0,3072.14,7.48,4.9,281.27
2021-11-03 13:20:46,16.5,20.5,68.0,53.93,1023.0,1018.0,270.0,3049.3,7.26,4.96,283.78
2021-11-03 13:20:51,16.5,20.5,68.0,53.95,1023.0,1023.0,270.0,3041.63,7.31,4.88,284.62
2021-11-03 13:20:57,16.5,20.5,68.0,54.0,1023.0,1023.0,275.0,3038.01,7.31,4.94,281.27
2021-11-03 13:21:02,16.5,20.6,68.0,54.0,1023.0,1023.0,280.0,3039.24,7.22,4.94,279.61
2021-11-03 13:21:07,16.5,20.6,68.0,54.0,1023.0,1023.0,285.0,3047.22,7.22,4.87,281.27
2021-11-03 13:21:11,16.5,20.6,68.0,53.95,1023.0,1017.0,290.0,3030.16,7.0,4.96,282.11
2021-11-03 13:21:16,16.5,20.6,68.0,53.95,1023.0,1023.0,290.0,3070.42,7.18,4.87,282.95
2021-11-03 13:21:21,16.5,20.6,68.0,53.95,1023.0,1016.0,295.0,3028.77,7.22,4.88,282.11
2021-11-03 13:21:26,16.5,20.6,68.0,53.95,1023.0,1023.0,290.0,3047.22,7.0,4.83,280.44
2021-11-03 13:21:31,16.5,20.6,66.0,53.95,1023.0,1014.0,300.0,2957.3,6.91,4.75,283.78
2021-11-03 13:21:36,16.5,20.6,66.0,53.93,1023.0,1023.0,310.0,3061.35,7.13,4.7,282.11
2021-11-03 13:21:41,16.5,20.5,67.0,53.93,1023.0,1015.0,310.0,3012.05,6.91,4.79,282.11
2021-11-03 13:21:46,16.5,20.5,67.0,53.95,1023.0,1023.0,315.0,3042.79,6.96,4.75,283.78
2021-11-03 13:21:51,16.5,20.5,69.0,53.93,1023.0,1015.0,320.0,3049.3,7.0,4.7,282.11
2021-11-03 13:21:56,16.5,20.5,69.0,53.93,1023.0,1023.0,325.0,3019.99,6.91,4.72,282.11
2021-11-03 13:22:01,16.5,20.5,67.0,53.95,1023.0,1015.0,330.0,3036.76,6.91,4.81,282.11
2021-11-03 13:22:06,16.5,20.5,67.0,53.95,1023.0,1023.0,330.0,3068.63,7.09,4.7,283.78
2021-11-03 13:22:11,16.5,20.5,69.0,53.93,1023.0,1015.0,340.0,3031.52,7.09,4.75,283.78
2021-11-03 13:22:16,16.5,20.5,69.0,53.95,1023.0,1023.0,340.0,2992.63,6.87,4.7,284.62
2021-11-03 13:22:21,16.5,20.6,69.0,53.93,1023.0,1015.0,345.0,3062.72,7.04,4.74,286.3
2021-11-03 13:22:26,16.5,20.6,69.0,53.95,1023.0,1023.0,350.0,2925.93,6.87,4.68,280.44
2021-11-03 13:22:31,16.5,20.6,68.0,53.93,1023.0,1015.0,355.0,3070.98,7.0,4.63,282.11
2021-11-03 13:22:36,16.5,20.6,68.0,53.95,1023.0,1023.0,360.0,2961.79,6.78,4.72,281.27
2021-11-03 13:22:41,16.5,20.6,68.0,53.93,1023.0,1014.0,365.0,3067.28,7.09,4.72,285.46
2021-11-03 13:22:46,16.5,20.6,68.0,53.93,1023.0,1023.0,365.0,3015.3,6.78,4.72,286.3
2021-11-03 13:22:51,16.5,20.6,67.0,53.95,1023.0,1014.0,370.0,3028.77,6.78,4.74,281.27
2021-11-03 13:22:56,16.5,20.6,67.0,53.95,1023.0,1023.0,380.0,3036.76,6.87,4.68,282.11
